subject,body,label,source,unique_id,outlier_votes,outlier_methods,pca_1,pca_2,tsne_1,tsne_2
Ravishing Bvlgari watches at Replica Classics   ,"
- Guaranteed triple-wrapped gold on all-gold models 

Delightsome Bvlgari watches at Replica Classics   

Click here to purchase high-quality replica watch 

http://nievetubaelay.com/


",1,CEAS-08,311,2.0,"tsne_visual, pca_visual",-14.597881,0.8568198,-65.729744,53.375103
Best viagra is here,"


We offer a wide selection of the most popular medications online.


5 ways to make your love more passinnate

Here!




expositors ethnocracy falconetti
etc/ttytab fLipallocd exercisers
exshowcmap enforcable euroclydon
epispadiac exhibiting eye-shaped
",1,CEAS-08,312,2.0,"tsne_visual, pca_visual",-14.597881,0.8568198,-71.10968,42.71968
CialisInfoSafeSecure,"
MoneybackPolicyTakeALookForCustomers
http://j8zvdg.bay.livefilestore.com/y1pobLho1iCn-3Al2eI4rI0lmt__yDVkEdV_rjgIElW8gqr4tXq4_QDqi80fo_iGbR2112BEDOi7w3m-ZJUnIX77w/index.html


",1,CEAS-08,319,3.0,"dbscan, tsne_visual, pca_visual",4.718396,12.531937,6.14686,74.90392
Be the only supermacho in the city.,"
Dear f82f4d1fe2d1e3ddd9180705ecf17b8b

Summer is a exact time to take a  break off at work and think about your health & personal life.

And we are glad to help you with it.

 From now on till 1st of September you can use our particular proposal.

Check our site for more details.

traditionstreet.com

6 Jul 2008 04:49:47


",1,CEAS-08,321,3.0,"distance_to_synthetic, dbscan, statistical",-2.367084,0.06115336,-42.285812,18.079756
Re: Problems with Postfix configuration / check_relay_domains and reject_rbl_client,"Johan Schröder wrote:
> Hello,
>
> I've got a problem with my current postfix configuration. I definied 
> several domains using ""relay_domains"", so that incoming mail is 
> accepted. That work's. The problem is in the following part of the 
> configuration:
>
> smtpd_recipient_restrictions = check_relay_domains reject_rbl_client 
> zen.spamhaus.org reject_unknown_reverse_client_hostname
>
> Here reject_rbl_client does not work, because it is ignored when I use 
> check_relay_domains. But Postfix does not work (server configuration 
> error) when I don't use check_relay_domains or use check_relay_domains 
> after the reject_rbl_client command.
>
> All I want is incoming mail to the specified domains are accepted AND 
> checked using RBL lists.

smtpd_recipient_restrictions =
    reject_unauth_destination
    reject_rbl_client ...
    ...


",0,CEAS-08,323,2.0,"distance_to_synthetic, dbscan",3.428042,-7.712478,-9.679417,-22.706581
helpful for your health.,"
If you are searching for cheap health shop. You wont find better solution than our site. We
have everything to help to get rid of bad condition.Even if you need prompt delivery at your door you can always 
rely on us. Get the most qualified help as fast as a mouse click.

cowcaptain.com

5 Aug 2008 20:58:23

Welcome
capone


",1,CEAS-08,328,3.0,"distance_to_synthetic, dbscan, statistical",5.3486547,2.8074944,63.022995,23.076277
Disable after-queue content filter for certain recipients,"I am using an smtp-based after-queue content filter that is activated 
via the content_filter = ... keyword in main.cf.

Now, I want to skip filtering for certain recipients, but only if they 
are the sole recipient. If the recipient doesn't match a predefined list 
or there are multiple recipients for the same message, the filter should 
still be called.

After reviewing the mailing list and the documentation, I see the only 
solution is using a policy server that looks into the recipient_count 
value in the END-OF-MESSAGE stage. It should send a ""action=DUNNO"" only 
if the recipient=... matches and recipient_count==1. And ""action=FILTER 
myfilter:"" otherwise. Am I right?

Are there policy servers around that I can use for this purpose? Or 
perl-based ones that I can hack with minimal effort?

Tschau
Alex


",0,CEAS-08,331,2.0,"tsne_visual, pca_visual",-14.597881,0.8568198,-81.01845,18.001719
Re: [Python-3000] Spooky behavior of dict.items() and friends,"Jason Orendorff wrote:
> On Tue, Apr 1, 2008 at 9:37 PM, ""Martin v. Löwis""  wrote:
>>  I think it's fairly obvious why the 2.x .keys() has to change. It's
>>  just too wasteful to actually build the list of all keys of a dictionary
>>  (or even of all values, as you have to create all the tuples as well),
>>  if all you want to do is to iterate over it, and the most common
>>  operation of .keys() is to iterate over it in a for look (right?).
> 
> I don't think so.  Is this a use case for d.keys()?  Why not just
> write ""for k in d""?

See the subject. What do you say about d.items()?

> To me, framing the question as ""iterate vs. copy"" seems bogus.  It's
> more like ""view vs. copy"".  The thing is, copying provides the
> semantics I want (of *course* I don't want extra helpings of aliasing
> and spooky interaction between collections, are you nuts?), and the
> slowness has never bothered me--that I know of.  Views would be
> faster, but with silently different semantics.  I think I want
> copying.

I think there is zero chance to revert that decision now.

Regards,
Martin
_______________________________________________
Python-3000 mailing list
Python-3000@python.org
http://mail.python.org/mailman/listinfo/python-3000
Unsubscribe: http://mail.python.org/mailman/options/python-3000/python-3000%40tangomu.com

",0,CEAS-08,341,2.0,"dbscan, pca_visual",4.801524,13.096654,-5.894001,67.71397
You can win an iPhone from VMware when you update your VMware Profile,"If your email program has trouble displaying this email, view it as a web page
[http://app.connect.vmware.com/e/es.aspx?s=524&e=4B1FCF0758D24AF8B4EE6B2DC44095F6&elq=5B645BDC0301478CAA5AD1BE7EB6115D]

To update your subscription and language preference, please visit [http://info.vmware.com/forms/Subscription?elq=5B645BDC0301478CAA5AD1BE7EB6115D]


~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 You Could Win an iPhone 
 When you Update your Profile Information 
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

VMware is eager to share news, events, and new product 
information with people who are interested in virtualization. 
We want to send you information that is relevant to your 
business. 

That is why we are asking you to take a moment to update your 
VMware profile and subscription information. When you update your 
profile, we can send you relevant information on events and 
promotions that are specific to your area. You can also select 
exactly the type of information you would like to receive.


Once you confirm or update your profile, you will be 
automatically entered in a drawing for an Apple iPhone. One 
lucky person will win the iPhone, but everyone is a winner: 
You will receive only the information from VMware that is relevant 
to you. 

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Update your profile
[http://info.vmware.com/forms/Profile?src=EM1_07_Q4_DB_CUST_3056&ossrc=EM1_07_Q4_DB_CUST_3056&elq=5B645BDC0301478CAA5AD1BE7EB6115D]

Win an Apple iPhone! Update your profile information today and 
you will automatically be entered in a drawing for an Apple iPhone. 
(Canada and US residents only)

Click here for official rules
[http://app.connect.vmware.com/e/er.aspx?s=524&lid=1534&elq=5B645BDC0301478CAA5AD1BE7EB6115D]

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

Sincerely,
The VMware Marketing Team



VMware, Inc. 3401 Hillview Ave Palo Alto CA 94304 USA Tel 1-877-486-9273
Copyright © 2008 VMware, Inc. All rights reserved. VMware is a registered 
trademark of VMware, Inc. 
Thank you for registering with VMware. Any information that you provide to 
VMware will be treated in accordance with our Privacy Policy:
[http://www.vmware.com/help/privacy.html]

Update your VMware profile and you will be entered to win an iPhone. To manage your profile and subscription preferences, please visit VMware Profile:
[http://info.vmware.com/forms/Profile?elq=5B645BDC0301478CAA5AD1BE7EB6115D] 
Once you submit your updates, you will be automatically entered into a drawing for the iPhone. Void where prohibited. Click here for official rules:
[http://campaign.vmware.com/docs/Legal_Copy_1939.pdf]

To UNSUBSCRIBE completely from 
VMware communications, please go to 
[http://info.vmware.com/content/opt-out?elq=5B645BDC0301478CAA5AD1BE7EB6115D]",0,CEAS-08,344,2.0,"dbscan, tsne_visual",-9.146322,-1.8138134,-34.68722,62.085728
Intimate life booster pack.,"
Spend endless nights of pleasure. http://wzmqk.readygave.com


",1,CEAS-08,345,3.0,"distance_to_synthetic, dbscan, statistical",2.1946836,-0.8134172,-18.588434,-0.4917115
"Re: [opensuse] Nvidia compiz ""freeze""","Daniel Bauer wrote:
> Hi everybody
>
> Since I installed compiz-fusion the screen freezes after the screensaver 
> starts or when I go to a text-console (ctrl-alt-F2) and come back again. 
> (mouse can be moved, but no action on click, cannot switch to text-console, 
> have to shutdown and restart).
>
> I found a lot of threads in google from people having the same problem last 
> year (mainly with ubuntu) , but I havn't found a solution...
>
> I use openSuse 10.3, have a Nvidia GForce TI 4200 with AGP8X, downloaded the 
> driver last year from Nvidia (NVIDIA-Linux-x86-96.43.01-pkg1.run), which I 
> found there under ""Legacy"" - but when I looked at the nvidia.com page today 
> for a new driver release for that old card I could not find anything at all 
> anymore...
>
> I don't think I could use the drivers offerend in Yast/Nvidia repository for 
> that old card, no?
>
> Can you help?
>
> regards
>
> Daniel
>   
There should be an ""NVIDIA-Linux-x86-96.43.05-pkg1.run"" package
available on the nvidia site, I downloaded it 30th Jan.
Dave


",0,CEAS-08,351,2.0,"dbscan, tsne_visual",-1.3368868,-2.278429,7.396986,-72.68449
ALL MAJOR DESIGNER REPLICA W ATCHES!   ,"
If you are looking for a stylish, quality costume watch at low prices, our offers are for you. We specialize in top quality replica watches. Wearing these expensive looking watches is prestigious. Buying these models you will save you a ton of money and always look trendy. 

is ROLEX under 199 $ good for you? 

Luxurious costume replica watches at ...  

http://undeeruncis.com/


",1,CEAS-08,352,2.0,"dbscan, tsne_visual",-0.029643944,-1.4714278,5.2845488,-72.01856
Offer variety replica watches,"
We only sell premium watches. There's no battery in these replicas just like the real ones since they charge themselves as you move.

Replica watches, pens, bags and more... Cheap luxury gifts ...   

Most reliable replica from Patek Philippe watch here   

http://undeeruncis.com/


",1,CEAS-08,356,3.0,"distance_to_synthetic, dbscan, statistical",1.4477556,2.027948,-12.697825,34.44381
Get slim this summer.,"
If you are searching for good chemists. You wont find better assortment than our site. We
have everything to help to get rid of  deseasess.Even if you need quick delivery at your door you can always 
trust us. Obtain the most experienced help as fast as a mouse click.

traditionstreet.com

5 Aug 2008 22:00:48

cat
Welcome


",1,CEAS-08,357,3.0,"distance_to_synthetic, dbscan, statistical",3.6342256,-5.033536,1.4253665,2.2075636
Re: [ie-rant] Perlico,"
""Eoin Parker"" writes:
>Afraid not, BT is only 384 up as well.
>
>If you want fast upload you've to get something else in other than  ADSL.
>(The 'A' stands for asymmetric, i.e. its faster in one direction than the
>other.)
>
>Why would someone really need fast uploads ?   Are you running a website,
>something like that ?

(cough) torrents (cough)

--j.
",0,CEAS-08,363,2.0,"dbscan, tsne_visual",4.3407583,10.605267,30.19951,67.05371
New pharm items,"


Take her to the seventh heaven of pleasure.


The trusted online health shop for buying medications online.

Here!




excitatory epicureans escalating
eparameter extendqisi fackeltanz
fahrbrucke etc/shadow fIdisabled
europeiska exospheric entericoid
",1,CEAS-08,370,3.0,"distance_to_synthetic, dbscan, statistical",3.1106224,-4.282058,18.243301,-8.858371
Best Frank Muller replica watches at Replica Classics ,"
In our online store you can buy replicas of Rolex watches and other brands.

Find the best replica rolex, Jewelry etc. 

Click here and order replica watches from best brands   

http://alinegladysip.com/


",1,CEAS-08,371,3.0,"distance_to_synthetic, dbscan, statistical",4.4967527,-4.0028715,-9.5152645,1.9559093
Re: [Python-3000] PEP 3108 - stdlib reorg/cleanup,"On Thu, May 1, 2008 at 11:02 AM, Brett Cannon  wrote:
> On Thu, May 1, 2008 at 7:41 AM, Collin Winter  wrote:
>  >
>  > On Mon, Apr 28, 2008 at 7:30 PM, Brett Cannon  wrote:
>
>
> >  >  Transition Plan
>  >  >  ===============
>  >  >
>  >  >  For modules to be removed
>  >  >  -------------------------
>  >  >
>  >  >  For the removal of modules that are continuing to exist in the Python
>  >  >  2.x series (i.e., not deprecated explicitly in the 2.x series),
>  >  >  ``warnings.warn3k()`` will be used to issue a DeprecationWarning.
>  >
>  >  FYI, we can also flag these using 2to3.
>  >
>
>  I can't remember if we have a guiding rule on this yet, but if 2to3
>  can fix this, do we still want the warning? Obviously both names will
>  be provided so people can move their code over, but perhaps the
>  warning is not needed?

I say keep the runtime warning. 2to3 can't fix the cases where the
module is being removed entirely; the best it can do is to flag the
import statement as requiring the user's attention.

>  >  >  Renaming of modules
>  >  >  -------------------
>  >  >
>  >  >  For modules that are renamed, stub modules will be created with the
>  >  >  original names and be kept in a directory within the stdlib (e.g. like
>  >  >  how lib-old was once used).  The need to keep the stub modules within
>  >  >  a directory is to prevent naming conflicts with case-insensitive
>  >  >  filesystems in those cases where nothing but the case of the module
>  >  >  is changing.
>  >  >
>  >  >  These stub modules will import the module code based on the new
>  >  >  naming.  The same type of warning being raised by modules being
>  >  >  removed will be raised in the stub modules.
>  >  >
>  >  >  Support in the 2to3 refactoring tool for renames will also be used
>  >  >  [#2to3]_.  Import statements will be rewritten so that only the import
>  >  >  statement and none of the rest of the code needs to be touched.  This
>  >  >  will be accomplished by using the ``as`` keyword in import statements
>  >  >  to bind in the module namespace to the old name while importing based
>  >  >  on the new name.
>  >
>  >  You should cite the existing fix_imports fixer as one example of how
>  >  to do this: http://svn.python.org/view/sandbox/trunk/2to3/lib2to3/fixes/fix_imports.py?view=markup
>
>  Done.
>
>  -Brett
>
_______________________________________________
Python-3000 mailing list
smsbmo-9552@python.org
http://mail.python.org/mailman/listinfo/python-3000
Unsubscribe: http://mail.python.org/mailman/options/python-3000/python-3000%40tangomu.com


",0,CEAS-08,372,2.0,"dbscan, tsne_visual",3.9462204,-1.2325753,64.84622,-22.17963
Coming fast and furious,"
Erectile dysfunction research on men
http://www.fiftyscore.com/

--
Using Opera's revolutionary e-mail client: http://www.opera.com/mail/


",1,CEAS-08,374,4.0,"distance_to_synthetic, dbscan, statistical, tsne_visual",-1.1878738,-2.4383333,8.580445,-81.13706
Your impeccable style is guaranteed!,All our top-rank rep1!c@ watches are produced in accordance with  current technical standards!  http://wearrain.com/,1,CEAS-08,375,2.0,"dbscan, pca_visual",5.241082,12.769909,0.8515725,51.56494
Best Frank Muller replica watches at Replica Classics ,"
Delightsome Cartier watches at Replica Classics 

To Men Who Want To Buy Rolex Watches At A Fraction Of The Price

0ver 3OO $tyles of Replica //atches

http://thankinnhow.com/


",1,CEAS-08,377,3.0,"distance_to_synthetic, dbscan, statistical",5.2529144,0.052342437,58.907703,23.485907
Safe and potent enhancement pills,"
If you have a problem getting or keeping an  erection, you are not alone. In fact, more than half of all men over forty have difficulties getting or maintaining an erection. This condition, called erectile dysfunction (ED), occurs with younger and older men as well, but there's a safe, effective and easy method of treatment: Viagra . 

 http://nationarm.com

When the time is right, you'll always be ready.


",1,CEAS-08,378,2.0,"tsne_visual, pca_visual",-14.597881,0.8568198,-87.61561,14.284491
Re: [Python-Dev] [Python-3000] Reminder: last alphas next Wednesday	07-May-2008,"Guido van Rossum schrieb:
> On Thu, May 1, 2008 at 5:03 PM,   wrote:
>> On 11:45 pm, hoauf@python.org wrote:
>>
>> > I like this, except one issue: I really don't like the .local
>> > directory. I don't see any compelling reason why this needs to be
>> > ~/.local/lib/ -- IMO it should just be ~/lib/. There's no need to hide
>> > it from view, especially since the user is expected to manage this
>> > explicitly.
>> >
>>
>>  I've previously given a spirited defense of ~/.local on this list (
>> http://mail.python.org/pipermail/python-dev/2008-January/076173.html ) among
>> other places.
>>
>>  Briefly, ""lib"" is not the only directory participating in this convention;
>> you've also got the full complement of other stuff that might go into an
>> installation like /usr/local.  So, while ""lib"" might annoy me a little, ""bin
>> etc games include lib lib32 man sbin share src"" is going to get ugly pretty
>> fast, especially if this is what comes up in Finder or Nautilus or Explorer
>> every time I open a window.
> 
> Unless I misread the PEP, there's only going to be a lib subdirectory.
> Python packages don't put stuff in other places AFAIK.

Maybe. But when I install other software in my homedir, I install it to
~/.local, precisely to avoid what Glyph said about getting the full set
of subdirs, and it would be nice for Python to fit into this scheme.

> On the Mac, the default Finder window is not your home directory but
> your Desktop, which is a subdirectory thereof with a markedly public
> name. In fact, OS X has a whole bunch of reserved names in your home
> directory, and none of them start with a dot. The rule seems to be
> that if it contains stuff that the user cares about, it doesn't start
> with a dot.

That's not my rule, and it seems that at least Barry and Glyph agree.

Georg


-- 
Thus spake the Lord: Thou shalt indent with four spaces. No more, no less.
Four shall be the number of spaces thou shalt indent, and the number of thy
indenting shall be four. Eight shalt thou not indent, nor either indent thou
two, excepting that thou then proceed to four. Tabs are right out.

_______________________________________________
Python-Dev mailing list
zvllln-eum@python.org
http://mail.python.org/mailman/listinfo/python-dev
Unsubscribe: http://mail.python.org/mailman/options/python-dev/python-dev%40tangomu.com


",0,CEAS-08,382,3.0,"distance_to_synthetic, dbscan, statistical",2.343093,0.52653456,-14.324816,33.350178
Re: [python-win32] OE/WAB help with VB ...,"Greetings ...

 Thanks again for the quick response ...
>  Clinton Lee Taylor wrote:
>  > I think I get this because com objects have to be ""imported"" ... But
>  > this ActiveX object does not seem to have a ""type lib""? ...
>  It appears the type info is embedded in the dll itself, rather than
>  shipped as a separate .tlb.

>  I get the same error after generating the wrapper from the type info.
>  Try clearing your \\win32com\\genpy folder, and run it without the
>  EnsureDispatch.  There may be something wrong with the type
>  info, but it would take a lot of digging to find out exactly what.
 Okay, the little library is LGPL and the source is about, would we be
able to get the details from the header files or something else?

Thanks
Mailed
LeeT
_______________________________________________
python-win32 mailing list
kpitck-aew45@python.org
http://mail.python.org/mailman/listinfo/python-win32


",0,CEAS-08,386,4.0,"distance_to_synthetic, dbscan, statistical, tsne_visual",0.610889,-4.505149,12.35916,-73.31772
Christmas Replica Watches  ,"
No time to look for watch? Replica Classics 

Choice IWC replica watches at Replica ...   

Choice IWC replica watches at Replica Classics   

http://fundspampasau.com/


",1,CEAS-08,387,3.0,"distance_to_synthetic, dbscan, statistical",5.1343403,0.26798823,62.304985,19.916386
Re: [opensuse] true news group?,"Neil wrote:

> On Feb 18, 2008 7:41 PM, Per Jessen  wrote:
[snip]
>> 1. They are essentially an inferior and utterly superfluous
>> re-invention of existing internet communication means - newsgroups
>> aka usenet.
> They may be inferior in some cases, but they are webbased so they need
> no separate software. I can read forums at school, in a internet cafe
> when on holiday, no problem.This is not the case with usenet.

Hi Neil

like jdd, I was hoping to avoid this debate.  It's only flogging a dead
horse.  My list of reasons is/was intended as a statement, they're not
really open to debate.  

Nevertheless - 

Webbased forums need software too - it's called a webbrowser.  Usenet is
as accessible as a website, both provided you've got the right
software.

>> 2. They're web-based - the interface changes just about every time
>> you change forum. Add to that the entirely superfluous graphics and
>> icons and what have you, and they become slow and unwieldy.
> The layout is a result of the admin's choices, true. But if the
> choices are good the result will be good. There are even phpbb's who
> let the user pick the css (drop down menu) and (if the css is build to
> the full posibilties) therefore the full layout.

Let me know how you propose to _guarantee_ that the interface does _not_
change when I change forum. 

>> 3. Following multiple separate forums can't be done on one screen.
> true, but does that matter? You can simply open 2 browser windows and
> place them neatly next to each other on 1 screen. In fact I even
> filter my mails so different mailing lists have their own folder and
> are placed there automatically.

I suspect you're probably young, and perhaps even a little
inexperienced.  Nothing wrong with that, so am I :-)
I track/follow maybe 40 or 50 mailing-lists. Not every day and not
equally, but I probably check in on maybe 20-25 public lists every day. 
All I need to do is switch to knode, and do a ""Get all new articles"",
then I know which groups have updates and which don't.  All on ONE
screen, not 25.

Here's a screenshot from my knode:

http://jessen.ch/files/knode-screenshot2.jpeg
(49 mailing lists)

>> 4. There is no proper threading in forums and selective quoting is at
>> best cumbersome.
> No proper threading? What kind of forum are you thinking? I do not
> know any forums which don't. A message is posted in a reply to a
> message so it's displayed directly beneath it.

Which is not proper threading.  You may be showing your inexperience a
little here.  See the screenshot above for an example of threading.

>> 5. They usually require that you login. Downright silly.
> Don't you log in to check your mail? Most forums are readable without
> logging in, just sending to it is not allowed.

Nope.  I login to my workstation, the rest goes by itself.  And I can
read/post/whaetever after that. 

> Do you have more reasons? As always: I can still be convinced if you'd
> like.

Not really - like I said, those 5 reasons are from an article I wrote
two years ago.  They haven't changed.

> One reason for forum instead of usenet: Linux must try to access the
> main public. The main public does know how to work forums, the do not
> know how to work usenet. The usenet history would have to be stored
> and made available by Google search.

I have absolutely no problem with the webforum as an _interface_ only. 
Make the core engine a news server with gated webfora and mailinglists,
and I'll be perfectly happy.
However, right now, most if not all webfora believe they are alone in
the universe, and behave as such. 



/Per Jessen, Zürich



",0,CEAS-08,388,2.0,"distance_to_synthetic, dbscan",-3.2151573,1.4701859,-38.872185,-1.4128972
From Ivy Maher,"






P of harm mul acy

Vis tnd it Your Local Target P ya h fnx arm my acy
for Ge rlj ner lur ic Dr oqy ug uis s, Re rcw fills, & More.

http://colonybear.com




",1,CEAS-08,391,2.0,"tsne_visual, pca_visual",-14.597881,0.8568198,-91.84915,10.673379
"Re: Clearly bogus false positives -- on ""abuse"" contact point, no less","Daryl C. W. O'Shea wrote: > Philip Prindeville wrote: >    >> There is an RFC that defines what a URL looks like.  A bare domain >> doesn't cut it. >> >> You want to forbid bare domains in email?  Go ahead.  You can forbid >> anything you like. >>      > > I don't, and I doubt Matt wants to either. > >    >> But don't call it a test for URL's, since it's clearly not. >>      > > FWIW, you're the only one who's been calling it a URL.  The SA headers > say it's a URI, which isn't accurate either, unless of course you > consider SURBL to be a Schemeless URI Realtime Blocklist. > >    >>> Besides, when this ""braindeath"" is more the norm than the exception, >>> it's a de facto standard. Particularly in the absence of any rules >>> against it. >>>        >> Yeah, I'll talk to the Outlook folks, and file a bug against >> Thunderbird... (I think the latter only does it to be compatible with >> the former...) >>      > > Yeah, good luck with that. > > Do you really have an issue with SA, or is it just that you're pissed > off that somebody rejected spam sent to their abuse account and you're > taking your frustration out on how SA detected that spam? > > Daryl >    I don't like going down the slippery slope of ""Well, it's not really an  URI, but Outlook treats it like one, so we will too."" (substitute URI  and Outlook with an number of alternate permutations here). Half of the security holes that viri, etc. exploit probably exist  because of woolly-minded thinking and bent definitions like that in the  first place.  So what could be a well-intentioned attempt to make things  better just ends up making them worse. -Philip >From foo@bar  Sat Apr 26 15:52:24 2008 X-Spam-Status: No, score= X-Spam-Score:  X-Spam-Bar:  X-Spam-Flag: NO Although spam assassin continued to filter out most spam correctly the volume of these emails being delivered increased until my mailbox was being inundated and my hosting company were either unwilling or unable to deal with the problem.  Consequently I recently switched to a different host but after a week or three of smooth running I started receiving emails with identical invalid headers, and now I find myself drowning in them once again with another hosting company seemingly unable to identify or correct the issue. :-/ If anyone can help me with this I would be MOST grateful, thanks! fLaMePr0oF <>< --  View this message in context: http://www.nabble.com/Emails-passing-through-SA-with-valueless-headers-tp15768994p15768994.html Sent from the SpamAssassin - Users mailing list archive at Nabble.com.",0,CEAS-08,393,2.0,"dbscan, tsne_visual",4.507279,-0.44988468,71.05552,6.6940594
Re:,"
Just because you know someone doesn't mean you love them, and just because you don't know people doesn't mean you can't love them. You can fall in love with a complete stranger in a heartbeat, if God planned that route for you. So open your heart to strangers more often. You never know when God will throw that pass at you. http://ef.prosperityanger.com


",1,CEAS-08,397,2.0,"dbscan, pca_visual",4.908423,13.586939,2.942286,58.71325
[ spambayes-Feature Requests-1463905 ] Junk E-Mail & Action Button,"Feature Requests item #1463905, was opened at 2006-04-03 16:38
Message generated for change (Comment added) made by plusaf
You can respond by visiting: 
https://sourceforge.net/tracker/?func=detail&atid=498106&aid=1463905&group_id=61702

Please note that this message will contain a full copy of the comment thread,
including the initial issue submission, for this request,
not just the latest update.
Category: Outlook
Group: None
Status: Open
Priority: 5
Private: No
Submitted By: dasnetsys (dasnetsys)
Assigned to: Nobody/Anonymous (nobody)
Summary: Junk E-Mail & Action Button

Initial Comment:
First off, this is one of the best programs for Anti-
SPAM I've seen.  Kudos to all...

When in Junk E-Mail the available Button is [Recover 
from Spam] which I've clicked I really meant to DELETE 
them from Junk E-Mail Folder.  (Done this several 
times and may be due to contantly using the [Delete As 
Spam] while in Inbox.)

Could there be a warning that I'm restoring junk 
emails into Inbox or add a [Delete Junk] along with 
[Recover...].

Just though I mention it.

Thanks for all your work...



----------------------------------------------------------------------

Comment By: plusaf (plusaf)
Date: 2008-04-09 20:01

Message:
Logged In: YES 
user_id=1083896
Originator: NO

perhaps that could be a spambayes OPTION to display a popup warning or not
for that action?

----------------------------------------------------------------------

Comment By: Tony Meyer (anadelonbrin)
Date: 2006-05-10 22:31

Message:
Logged In: YES 
user_id=552329

This sounds terrible to me.  I would hate to have a
confirmation dialog pop up every time that I used the ""Not
Spam"" button to correct any mistakes.

----------------------------------------------------------------------

You can respond by visiting: 
https://sourceforge.net/tracker/?func=detail&atid=498106&aid=1463905&group_id=61702


",0,CEAS-08,398,2.0,"tsne_visual, pca_visual",-14.597881,0.8568198,-69.1162,60.913754
Re: [Python-3000] gettext,"> Are we going to want to keep the ""u"" variants of the gettext APIs
> around in 3.0? Also, the unicode parameters (for .install methods)
> don't make much sense in 3.0.
> 
> I don't see how we could remove them in 3.0, but perhaps rename then
> to their non-""u"" variants and deprecate?

I think the new module should only support the Unicode API. gettext is
about text, i.e. character strings; there is no need for byte-oriented
APIs.

Regards,
Martin
_______________________________________________
Python-3000 mailing list
smsbmo-9552@python.org
http://mail.python.org/mailman/listinfo/python-3000
Unsubscribe: http://mail.python.org/mailman/options/python-3000/python-3000%40tangomu.com


",0,CEAS-08,400,4.0,"distance_to_synthetic, dbscan, statistical, tsne_visual",-0.93674755,-2.1600661,7.266336,-77.174225
[opensuse] [OT] How much power does a PC really consume?,"On 2/18/08, Aaron Kulkis  wrote:
> Neil wrote:
> > On 2/18/08, Aaron Kulkis  wrote:
> >>>> James Knott wrote:
> >>>>> Ummm...  He was talking about RMS, which implies voltage or current.
> >>>>> There's no such thing as RMS power.
> >>>> RMS is short for Root-mean-squared
> >>>> i.e.       _______
> >>>>           /_2
> >>>>        V  X
> >
> > Sqare root (x^2) is only a way of getting the absolute version of x.
> > To get the actual RMS (normally used version) value of that you'd have
> > to average that over a full cycle.
>
> That's why there was a bar ""_"" over the X.
>
> It was there, ... someone's reply seems to have removed it.

Sorry, I did. It fell off when I fixed the shifts that apeared when
copying. Fixed it again.
I seem to have forgotten what the bar meant. I knew it when I needed
it for a test, but I lost it.
Is it the arithmic mean? The arithmic mean is a way of averaging, if
wikipedia (http://en.wikipedia.org/wiki/Arithmetic_mean) is correct.
The average of a sine (if N cycles are taken) is 0.
If the arithmic mean of a sine is plotted over a time period the
result would be the exact same sine.
The result of this would be that RMS is a useless value. It is not,
and therefore my reasoning must be flawed somewhere. Does anyone have
the time, knowledge and will to take the quest of finding this flaw? I
seem to be unable to.

>
> >
> >>>> RMS can apply to any function vs. time (voltage, current,
> >>>> power, etc.)
> >
> >> RMS is just as statistical method, which is useful for making
> >> sense of any time-variant function.
> >>
> >> The square root of the square of power is just as much related
> >> to power as the square root of the square of voltage is related
> >> to voltage (NOT power).
> >
> > I learned RMS was the exact calculation of the energy transmitted over
> > a waveform and could be seen as the average of the sinus after
> > rectification. The original measurement was measuring the heat of a
> > resistor, and therefore the power flowing through it.
> > I could be wrong (actually I'm quite good at that).
> >
>
>
>
> --
> To unsubscribe, e-mail: assipqff+nmekprykass@opensuse.org
> For additional commands, e-mail: qybuovjs+kcmh@opensuse.org
>
>

-- 
There are two kinds of people:
1. People who start their arrays with 1.
1. People who start their arrays with 0.


",0,CEAS-08,403,2.0,"tsne_visual, pca_visual",-14.597881,0.8568198,-65.87101,45.25714
"Produce Stronger, Rock Hard Erections. ","
Size DOES matter - change your life today!

Try it today - you have nothing to lose, just a lot to gain!

http://dayscore.com/


",1,CEAS-08,405,4.0,"distance_to_synthetic, dbscan, statistical, tsne_visual",1.3477961,-2.7011623,63.978874,-39.36934
